"","EURIRS","Rate_Name","Rate_Value"
"125","05/02/2021","X30.ANNI",0.23
"126","08/02/2021","X10.ANNI",-0.11
"127","08/02/2021","X15.ANNI",0.1
"128","08/02/2021","X20.ANNI",0.24
"129","08/02/2021","X25.ANNI",0.25
"130","08/02/2021","X30.ANNI",0.24
"131","09/02/2021","X10.ANNI",-0.11
"132","09/02/2021","X15.ANNI",0.12
"133","09/02/2021","X20.ANNI",0.22
"134","09/02/2021","X25.ANNI",0.25
"135","09/02/2021","X30.ANNI",0.24
"136","10/02/2021","X10.ANNI",-0.09
"137","10/02/2021","X15.ANNI",0.14
"138","10/02/2021","X20.ANNI",0.24
"139","10/02/2021","X25.ANNI",0.28
"140","10/02/2021","X30.ANNI",0.27
"141","11/02/2021","X10.ANNI",-0.12
"142","11/02/2021","X15.ANNI",0.11
"143","11/02/2021","X20.ANNI",0.21
"144","11/02/2021","X25.ANNI",0.24
"145","11/02/2021","X30.ANNI",0.23
"146","12/02/2021","X10.ANNI",-0.09
"147","12/02/2021","X15.ANNI",0.15
"148","12/02/2021","X20.ANNI",0.27
"149","12/02/2021","X25.ANNI",0.31
"150","12/02/2021","X30.ANNI",0.3
"151","15/02/2021","X10.ANNI",-0.05
"152","15/02/2021","X15.ANNI",0.19
"153","15/02/2021","X20.ANNI",0.31
"154","15/02/2021","X25.ANNI",0.34
"155","15/02/2021","X30.ANNI",0.33
"156","16/02/2021","X10.ANNI",-0.01
"157","16/02/2021","X15.ANNI",0.24
"158","16/02/2021","X20.ANNI",0.35
"159","16/02/2021","X25.ANNI",0.39
"160","16/02/2021","X30.ANNI",0.39
"161","17/02/2021","X10.ANNI",-0.03
"162","17/02/2021","X15.ANNI",0.22
"163","17/02/2021","X20.ANNI",0.34
"164","17/02/2021","X25.ANNI",0.37
"165","17/02/2021","X30.ANNI",0.36
"166","18/02/2021","X10.ANNI",-0.01
"167","18/02/2021","X15.ANNI",0.23
"168","18/02/2021","X20.ANNI",0.36
"169","18/02/2021","X25.ANNI",0.37
"170","18/02/2021","X30.ANNI",0.36
"171","19/02/2021","X10.ANNI",0.02
"172","19/02/2021","X15.ANNI",0.28
"173","19/02/2021","X20.ANNI",0.38
"174","19/02/2021","X25.ANNI",0.41
"175","19/02/2021","X30.ANNI",0.41
"176","22/02/2021","X10.ANNI",-0.01
"177","22/02/2021","X15.ANNI",0.23
"178","22/02/2021","X20.ANNI",0.34
"179","22/02/2021","X25.ANNI",0.37
"180","22/02/2021","X30.ANNI",0.36
"181","23/02/2021","X10.ANNI",0.01
"182","23/02/2021","X15.ANNI",0.25
